gene_name	array_data_file_names	composite_element_ref	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	protein_function_and_regulatory_pathways	protein_name
TUBA1B	Acetyl-a-Tubulin-Lys40-R-E_GBL9016931.txt	Acetyl-a-Tubulin-Lys40-R-E	Under Evaluation	Rabbit	CST	5335	The cytoskeleton consists of three types of cytosolic fibers: microtubules, microfilaments (actin filaments), and intermediate filaments. Acetylation of _-tubulin at Lys40 is required for dynamic cell shape remodeling, cell motility, tubulin stability and terminal branching of cortical neurons	Acetyl-a-Tubulin-Lys40
ACVRL1	ACVRL1-R-C_GBL9016646.txt	ACVRL1-R-C	Use with Caution	Rabbit	Epitomics	2940-1	TNF beta superfamily	ACVRL1
AKT1 AKT2 AKT3	Akt-R-V_GBL9016657.txt	Akt-R-V	Validated	Rabbit	CST	9272	PI3K/AKT/mTOR pathway	Akt
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL9016658.txt	Akt_pS473-R-V	Validated	Rabbit	CST	9271	PI3K/AKT/mTOR pathway	Akt_pS473
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL9016659.txt	Akt_pT308-R-V	Validated	Rabbit	CST	9275	PI3K/AKT/mTOR pathway	Akt_pT308
PRKAA1	AMPK_alpha-R-C_GBL9016660.txt	AMPK_alpha-R-C	Use with Caution	Rabbit	CST	2532	Involved in energy homeostasis regulation	AMPK_alpha
PRKAA1	AMPK_pT172-R-V_GBL9016661.txt	AMPK_pT172-R-V	Validated	Rabbit	CST	2535	Involved in energy homeostasis regulation	AMPK_pT172
ANXA1	Annexin-1-M-E_GBL9016536.txt	Annexin-1-M-E	Under Evaluation	Mouse	BD Transduction	610066	Apoptosis	Annexin-1
ANXA7	Annexin_VII-M-V_GBL9016637.txt	Annexin_VII-M-V	Validated	Mouse	BD Biosciences	610668	Apoptosis	Annexin_VII
AR	AR-R-V_GBL9016741.txt	AR-R-V	Validated	Rabbit	Epitomics	1852-1	Androgen receptor (AR). Transcription Factor	AR
ARAF	A-Raf_pS299-R-C_GBL9016776.txt	A-Raf_pS299-R-C	Use with Caution	Rabbit	CST	4431	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	A-Raf_pS299
DIRAS3	ARHI-M-E_GBL9016648.txt	ARHI-M-E	Under Evaluation	Mouse	Dr. Robert C Bast Jr.	Customer made	A member of the ras superfamily, Expressed in normal ovarian and breast epithelial cells, but not in ovarian and breast cancers.	ARHI
ARID1A	ARID1A-M-V_GBL9016830.txt	ARID1A-M-V	Validated	Mouse	Abgent	AT1188a	Involves in PI3K/PTEN signaling	ARID1A
ASNS	ASNS-R-E_GBL9016894.txt	ASNS-R-E	Validated	Rabbit	Sigma	HPA029318	The protein encoded by ASNS gene is involved in the synthesis of asparagine. 	ASNS
ATM	ATM-R-C_GBL9016662.txt	ATM-R-C	Under Evaluation	Rabbit	Abcam	ab32420	Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. 	ATM
BAD	Bad_pS112-R-V_GBL9016650.txt	Bad_pS112-R-V	Validated	Rabbit	CST	9291	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	Bad_pS112
BAK1	Bak-R-C_GBL9016663.txt	Bak-R-C	Under Evaluation	Rabbit	Epitomics	1542-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	Bak
BAP1	Bap1-c-4-M-V_GBL9016628.txt	Bap1-c-4-M-V	Ender Evaluation	Rabbit	Alomine	APC-125	BAP1 is a tumor suppressor that requires deubiquitinating activity and nuclear localization	Bap1-c-4
BAX	Bax-R-V_GBL9016664.txt	Bax-R-V	Validated	Rabbit	CST	2772	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	Bax
BCL2	Bcl-2-M-V_GBL9016815.txt	Bcl-2-M-V	Validated	Mouse	Dako	Dako M0887	Anti-apoptotic protein, Oncoprotein	Bcl-2
BCL2L1	Bcl-xL-R-V_GBL9016668.txt	Bcl-xL-R-V	Validated	Rabbit	CST	2762	Bcl-2 interacting mediator of cell death, anti-apoptotic protein 	Bcl-xL
BECN1	Beclin-G-V_GBL9016868.txt	Beclin-G-V	Use with Caution	Goat	Santa Cruz	sc-10086	BECN1 (Beclin 1) is a coiled-coil protein that has been implicated as an inhibitor of tumorigenesis. BECN1, which associates with Bcl-2, plays a significant role in autophagy.	Beclin
CTNNB1	beta-Catenin-R-V_GBL9016665.txt	beta-Catenin-R-V	Validated	Rabbit	CST	9562	Downstream effector in the Wnt signaling pathway	beta-Catenin
BID	Bid-R-C_GBL9016669.txt	Bid-R-C	Use with Caution	Rabbit	Epitomics	1008-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein	Bid
BCL2L11	Bim-R-V_GBL9016670.txt	Bim-R-V	Validated	Rabbit	Epitomics	1036-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein	Bim
BRAF	B-Raf-M-C_GBL9016813.txt	B-Raf-M-C	Use with Caution	Mouse	Santa Cruz	sc-5284	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	B-Raf
BRCA2	BRCA2-R-C_GBL9016629.txt	BRCA2-R-C	Use with Caution	Rabbit	CST	9012	The breast cancer susceptibility protein BRCA2 has roles in multiple processes related to DNA damage, repair, cell cycle progression, transcription, ubiquitination, and apoptosis	BRCA2
	CA9-M-E_GBL9016909.txt	CA9-M-E	Under Evaluation	Mouse				CA9
CASP7	Caspase-7_cleavedD198-R-C_GBL9016673.txt	Caspase-7_cleavedD198-R-C	Use with Caution	Rabbit	CST	9491	A major contributor to the execution of apoptosis	Caspase-7_cleavedD198
CASP8	Caspase-8-M-C_GBL9016805.txt	Caspase-8-M-C	**Used for QC**	Mouse	CST	9746	Apoptosis induced through the CD95 receptor (Fas/APO-1) and tumor necrosis factor receptor 1 (TNFR1) activates caspase-8 and leads to the release of the caspase-8 active fragments, p18 and p10. Activated caspase-8 cleaves and activates downstream effector caspases such as caspase-1, -3, -6, and -7. Caspase-3 ultimately elicits the morphological hallmarks of apoptosis, including DNA fragmentation and cell shrinkage.	Caspase-8
CAV1	Caveolin-1-R-V_GBL9016674.txt	Caveolin-1-R-V	Validated	Rabbit	CST	3238	One of the principal structural components of the cholesterol/sphingolipid-enriched plasma membrane microdomain caveolae. Interact with multiple signaling molecules such as G_ subunit, tyrosine kinase receptors, PKCs, Src family tyrosine kinases, and eNOS	Caveolin-1
MS4A1	CD20-R-C_GBL9016816.txt	CD20-R-C	Use with Caution	Rabbit	Epitomics	1632	Human B lymphocyte surfacr marker	CD20
PECAM1	CD31-M-V_GBL9016838.txt	CD31-M-V	Validated	Mouse	Dako	M0823	Endothelia cell marker	CD31
ITGA2	CD49b-M-V_GBL9016835.txt	CD49b-M-V	Validated	Mouse	BD	611016	Integrin	CD49b
CDK1	CDK1-R-V_GBL9016766.txt	CDK1-R-V	Validated	Rabbit	CST	9112	Involved in the regulation of the entry of eukaryotic cells into mitosis	CDK1
CHEK1	Chk1-R-C_GBL9016676.txt	Chk1-R-C	Under Evaluation	Rabbit	CST	2345	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk1
CHEK1	Chk1_pS345-R-C_GBL9016756.txt	Chk1_pS345-R-C	Use with Caution	Rabbit	CST	2348	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk1_pS345
CHEK2	Chk2-M-C_GBL9016789.txt	Chk2-M-C	Under Evaluation	Mouse	CST	3440	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk2
CHEK2	Chk2_pT68-R-C_GBL9016677.txt	Chk2_pT68-R-C	Under Evaluation	Rabbit	CST	2197	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Chk2_pT68
BIRC2	cIAP-R-V_GBL9016760.txt	cIAP-R-V	Use with Caution	Rabbit	Millipore	07-759	Apoptosis suppressor	cIAP
JUN	c-Jun_pS73-R-C_GBL9016678.txt	c-Jun_pS73-R-C	Validated	Rabbit	CST	9164	MAPK pathway, A component of the transcription factor activator protein-1 (AP-1), Regulates cell proliferation, differentiation, and apoptosis, as well as transformation, invasion and metastasis	c-Jun_pS73
KIT	c-Kit-R-V_GBL9016679.txt	c-Kit-R-V	Validated	Rabbit	Epitomics	1522	Tyrosine Kinase Receptor	c-Kit
CLDN7	Claudin-7-R-V_GBL9016752.txt	Claudin-7-R-V	Validated	Rabbit	Novus	NB100-91714	Claudins  make up tight junction strands.	Claudin-7
MET	c-Met-M-C_GBL9016800.txt	c-Met-M-C	**Used for QC**	Mouse	CST	3127	Met, a high affinity tyrosine kinase receptor for hepatocyte growth factor (HGF, also known as scatter factor) is a disulfide-linked heterodimer made of 45 kDa ?- and 145 kDa ?-subunits. The ?-subunit and the amino-terminal region of the ?-subunit form the extracellular domain. The remainder of the ?-chain spans the plasma membrane and contains a cytoplasmic region with tyrosine kinase activity. Interaction of Met with HGF results in autophosphorylation at multiple tyrosines, which recruit several downstream signaling components, including Gab1, c-Cbl, and PI3 kinase. These fundamental events are important for all of the biological functions involving Met kinase activity. The addition of a phosphate at cytoplasmic Tyr1003 is essential for Met protein ubiquitination and degradation. Phosphorylation at Tyr1234/1235 in the Met kinase domain is critical for kinase activation. Phosphorylation at Tyr1349 in the Met cytoplasmic domain provides a direct binding site for Gab1. Research studies have shown that altered Met levels and/or tyrosine kinase activities are found in several types of tumors, including renal, colon, and breast. Thus, investigators have concluded that Met is an attractive potential cancer therapeutic and diagnostic target.	c-Met
MET	c-Met_pY1235-R-C_GBL9016861.txt	c-Met_pY1235-R-C	Validated	Rabbit	CST	3129	Tyrosine kinase receptor for hepatocyte growth factor	c-Met_pY1235
MYC	c-Myc-R-C_GBL9016680.txt	c-Myc-R-C	Use with Caution	Rabbit	CST	9402	Members of the Myc/Max/Mad network function as transcriptional regulators invlolving in proliferation, differentiation and apoptosis	c-Myc
COL6A1	Collagen_VI-R-V_GBL9016779.txt	Collagen_VI-R-V	Validated	Rabbit	Santa Cruz	SC-20649	Collagens are fibrous, extracellular matrix proteins play a role in cell adhesion, important for maintaining normal tissue architecture and function.	Collagen_VI
	Complex-II_subunit30-M-V_GBL9016905.txt	Complex-II_subunit30-M-V	Validated	Mouse				Complex-II_subunit30
RAF1	C-Raf-R-V_GBL9016748.txt	C-Raf-R-V	Validated	Rabbit	Millipore	05-739	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	C-Raf
RAF1	C-Raf_pS338-R-C_GBL9016681.txt	C-Raf_pS338-R-C	Under Evaluation	Rabbit	CST	9427	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	C-Raf_pS338
CCNB1	Cyclin_B1-R-V_GBL9016682.txt	Cyclin_B1-R-V	Validated	Rabbit	Epitomics	1495-1	Cyclin B1 regulates mitosis. Cyclin B1 levels rise during S phase and G2, and peak at mitosis. 	Cyclin_B1
CCND1	Cyclin_D1-R-V_GBL9016780.txt	Cyclin_D1-R-V	Validated	Rabbit	Santa Cruz	SC-718	Cyclin D corresponds to a putative human oncogene. It regulates phosphorylation of the retinoblastoma gene product, thereby activating E2F transcription factors	Cyclin_D1
CCNE1	Cyclin_E1-M-V_GBL9016850.txt	Cyclin_E1-M-V	Validated	Mouse	Santa Cruz	SC-247	Cyclin E has been found to be associated with the transcription factor E2F in a temporally regulated manner. The cyclin E/E2F complex is detected primarily during the G1 phase of the cell cycle and decreases as cells enter S phase. E2F is known to be a critical transcription factor for expression of several S phase specific proteins.	Cyclin_E1
CCNE2	Cyclin_E2-R-C_GBL9016683.txt	Cyclin_E2-R-C	Use with Caution	Rabbit	Epitomics	1142	Controls cell cycle at late G1 and early S phase	Cyclin_E2
PARK7	DJ-1-R-C_GBL9016754.txt	DJ-1-R-C	Validated	Rabbit	Abcam	ab76008	May involved in regulation of PTEN expression	DJ-1
DVL3	Dvl3-R-V_GBL9016844.txt	Dvl3-R-V	Validated	Rabbit	CST	3218	Intermediates of Wnt signaling pathways	Dvl3
CDH1	E-Cadherin-R-V_GBL9016684.txt	E-Cadherin-R-V	Validated	Rabbit	CST	4065	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	E-Cadherin
EEF2	eEF2-R-V_GBL9016771.txt	eEF2-R-V	Use with Caution	Rabbit	CST	2332	Eukaryotic elongation factor 2 (eEF2) catalyzes the translocation of peptidyl-tRNA from the A site to the P site on the ribosome. Insulin induces rapid dephosphorylation of eEF2 through mTOR signaling.	eEF2
EEF2K	eEF2K-R-V_GBL9016772.txt	eEF2K-R-V	Validated	Rabbit	CST	3692	Eukaryotic elongation factor 2 kinase (eEF2k) phosphorylates and inactivates eEF2, resulting in the inhibition of peptide-chain elongation.p90RSK and p70 S6 kinase phosphorylate and inactivate eEF2k.	eEF2K
EGFR	EGFR-R-V_GBL9016781.txt	EGFR-R-V	Validated	Rabbit	CST	2232	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	EGFR
EGFR	EGFR_pY1068-R-V_GBL9016685.txt	EGFR_pY1068-R-V	Use with Caution	Rabbit	CST	2234	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	EGFR_pY1068
EGFR	EGFR_pY1173-R-C_GBL9016686.txt	EGFR_pY1173-R-C	Validated	Rabbit	Epitomics	1124	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	EGFR_pY1173
EIF4E	eIF4E-R-V_GBL9016736.txt	eIF4E-R-V	Valid	Rabbit	CST	9742	Eukaryotic initiation factor 4E (eIF4E) binds to the mRNA cap structure to mediate the initiation of translation (1,2). eIF4E interacts with eIF4G, a scaffold protein that promotes assembly of eIF4E and eIF4A into the eIF4F complex (2). eIF4B is thought to assist the eIF4F complex in translation initiation. Upon activation by mitogenic and/or stress stimuli mediated by Erk and p38 MAPK, Mnk1 phosphorylates eIF4E at Ser209 in vivo (3,4). Two Erk and p38 MAPK phosphorylation sites in mouse Mnk1 (Thr197 and Thr202) are essential for Mnk1 kinase activity (3). The carboxy-terminal region of eIF4G also contains serum-stimulated phosphorylation sites, including Ser1108, Ser1148, and Ser1192 (5). Phosphorylation at these sites is blocked by the PI3 kinase inhibitor LY294002 and by the FRAP/mTOR inhibitor rapamycin.	eIF4E
EIF4G1	eIF4G-R-C_GBL9016630.txt	eIF4G-R-C	Use with Caution	Rabbit	CST	2498	Translation initiation factor	eIF4G
ESR1	ER-alpha-R-V_GBL9016782.txt	ER-alpha-R-V	Validated	Rabbit	Lab Vision	RM-9101-S	Estrogen receptor, Transcription Factor	ER-alpha
ESR1	ER-alpha_pS118-R-V_GBL9016688.txt	ER-alpha_pS118-R-V	Validated	Rabbit	Epitomics	1091-1	Estrogen receptor, Transcription Factor	ER-alpha_pS118
ERCC1	ERCC1-M-C_GBL9016839.txt	ERCC1-M-C	**Used for QC**	Mouse	Lab Vision	MS-671-PO	Involved in DNA repaire	ERCC1
MAPK1	ERK2-R-E_GBL9016832.txt	ERK2-R-E	Under Evaluation	Rabbit	Santa Cruz	sc-154	Mitogen-activated protein kinase (MAPK) signaling pathways involve two closely related MAP kinases, known as extracellular-signal-related kinase 1 (ERK 1, p44) and 2 (ERK 2, p42).	ERK2
ETS1	ETS-1-R-V_GBL9016634.txt	ETS-1-R-V	Validated	Rabbit	BethYl	A303-501A	Ets-1 is a member of the ETS family of transcription factors	ETS-1
FASN	FASN-R-V_GBL9016824.txt	FASN-R-V	Validated	Rabbit	CST	3180	Fatty acid synthase (FASN) catalyzes the synthesis of long-chain fatty acids from acetyl-CoA and malonyl-CoA. Indicated as a poor prognosis in breast and prostate cancer. 	FASN
FN1	Fibronectin-R-C_GBL9016690.txt	Fibronectin-R-C	Use with Caution	Rabbit	Epitomics	1574-1	Involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape	Fibronectin
FOXM1	FoxM1-R-V_GBL9016869.txt	FoxM1-R-V	Validated	Rabbit	CST	5436	A forkhead box family transcription factor that regulates a number of genes throughout the cell cycle to help control DNA replication, mitosis and cell proliferation	FoxM1
FOXO3	FOXO3a-R-C_GBL9016691.txt	FOXO3a-R-C	Use with Caution	Rabbit	CST	9467	Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway	FOXO3a
FOXO3	FOXO3a_pS318_S321-R-C_GBL9016692.txt	FOXO3a_pS318_S321-R-C	Use with Caution	Rabbit	CST	9465	Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway	FOXO3a_pS318_S321
G6PD	G6PD-M-V_GBL9016638.txt	G6PD-M-V	Validated	Mouse	Santa Cruz	sc-373887	Plays an important role in the pentose phosphate pathway	G6PD
GAB2	GAB2-R-V_GBL9016763.txt	GAB2-R-V	Validated	Rabbit	CST	3239	Adaptor proteins recruited by a wide variety of receptor tyrosine kinases (RTKs) such as EGFR, HGFR, insulin receptor, cytokine receptor and B cell antigen receptors	GAB2
GAPDH	GAPDH-M-C_GBL9016639.txt	GAPDH-M-C	Use with Caution	Mouse	Ambion	AM4300	Glyceraldehyde 3-phosphate dehydrogenase	GAPDH
GATA3	GATA3-M-V_GBL9016801.txt	GATA3-M-V	Validated	Mouse	BD Biosciences	558686	Transcription factor	GATA3
GSK3A GSK3B	GSK3-alpha-beta-M-V_GBL9016840.txt	GSK3-alpha-beta-M-V	Validated	Mouse	Santa Cruz	SC-7291	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	GSK3-alpha-beta
GSK3A GSK3B	GSK3-alpha-beta_pS21_S9-R-V_GBL9016693.txt	GSK3-alpha-beta_pS21_S9-R-V	Validated	Rabbit	CST	9331	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	GSK3-alpha-beta_pS21_S9
GSK3A GSK3B	GSK3_pS9-R-V_GBL9016775.txt	GSK3_pS9-R-V	Validated	Rabbit	CST	9336	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	GSK3_pS9
	GYG-Glycogenin1-M-E_GBL9016902.txt	GYG-Glycogenin1-M-E	Under Evaluation	Mosue				GYG-Glycogenin1
	GYS-R-V_GBL9016898.txt	GYS-R-V	Validated	Rabbit				GYS
	GYS_pS641-R-V_GBL9016899.txt	GYS_pS641-R-V	Validated	Rabbit				GYS_pS641
ERBB2	HER2-M-V_GBL9016807.txt	HER2-M-V	Validated	Mouse	Lab Vision	MS-325-P1	The ErbB-2 proto-oncogene product	HER2
ERBB2	HER2_pY1248-R-E_GBL9016694.txt	HER2_pY1248-R-E	Use with Caution	Rabbit	Upstate (Millipore)	06-229	The ErbB-2 proto-oncogene product	HER2_pY1248
ERBB3	HER3-R-V_GBL9016788.txt	HER3-R-V	Validated	Mouse	Lab Vision	MS-201-P1ABX	A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity	HER3
ERBB3	HER3_pY1289-R-C_GBL9016862.txt	HER3_pY1289-R-C	Use with Caution	Rabbit	CST	4791	A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity	HER3_pY1289
NRG1	Heregulin-R-V_GBL9016614.txt	Heregulin-R-V	Validated	Rabbit	CST	2573	A soluble growth factor synthesized as a transmembrane precursor molecule involved in HRG-ErbB3/ErbB4 signaling to regulate cell proliferation, differentiation, invasion, and survival of both normal and malignant tissues	Heregulin
	HIF-1_alpha-M-E_GBL9016904.txt	HIF-1_alpha-M-E	Under Evaluation	Mouse				HIF-1_alpha
HSPA1A	HSP70-R-C_GBL9016695.txt	HSP70-R-C	Use with Caution	Rabbit	CST	4872	A molecular chaperone expressed constitutively under normal conditions to maintain protein homeostasis and are induced upon environmental stress	HSP70
IGFBP2	IGFBP2-R-V_GBL9016696.txt	IGFBP2-R-V	Validated	Rabbit	CST	3922	Insulin-like growth factor-binding proteins (IGFBPs), Tyrosine kinase receptor	IGFBP2
INPP4B	INPP4B-G-C_GBL9016846.txt	INPP4B-G-C	Under Evaluation	Goat	Santa Cruz	SC-12318	The inositol polyphosphate 4-phosphatases catalyze the hydrolysis of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate, and inositol 3,4-bisphosphate.	INPP4B
IRS1	IRS1-R-V_GBL9016747.txt	IRS1-R-V	Validated	Rabbit	Upstate (Millipore)	06-248	Insulin receptor substrate (IRS) molecules are key mediators in insulin signaling and play a central role in maintaining basic cellular functions such as growth, survival, and metabolism. Involves in PI3K pathway.	IRS1
MAPK9	JNK2-R-C_GBL9016698.txt	JNK2-R-C	Use with Caution	Rabbit	CST	4672	The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)	JNK2
MAPK8	JNK_pT183_pY185-R-V_GBL9016891.txt	JNK_pT183_pY185-R-V	Validated	Rabbit	CST	4668	The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)	JNK_pT183_pY185
XRCC5	Ku80-R-C_GBL9016757.txt	Ku80-R-C	Under Evaluation	Rabbit	CST	2180	Functions as the DNA-binding regulatory component of DNA-dependent protein kinase (DNA-PK) involving in DNA repaire	Ku80
LCK	Lck-R-V_GBL9016818.txt	Lck-R-V	Validated	Rabbit	CST	2752	A member of Src family of protein tyrosine kinases	Lck
	LDHA-R-C_GBL9016901.txt	LDHA-R-C	Use with Caution	Rabbit				LDHA
	LDHB-M-E_GBL9023076.txt	LDHB-M-E	Under Evaluation	Mouse				LDHB
STK11	LKB1-M-E_GBL9016790.txt	LKB1-M-E	Under Evaluation	Mouse	Abcam	ab15095	Essential role in G1 cell cycle arrest. Phosphorylates and activates members of the AMPK-related subfamily of protein kinases. Tumor suppressor.	LKB1
MAPK1 MAPK3	MAPK_pT202_Y204-R-V_GBL9016700.txt	MAPK_pT202_Y204-R-V	Validated	Rabbit	CST	4377	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	MAPK_pT202_Y204
MAP2K1	MEK1-R-V_GBL9016701.txt	MEK1-R-V	Validated	Rabbit	Epitomics	1235-1	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	MEK1
MAP2K1	MEK1_pS217_S221-R-V_GBL9016702.txt	MEK1_pS217_S221-R-V	Validated	Rabbit	CST	9154	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	MEK1_pS217_S221
ERRFI1	MIG-6-M-V_GBL9016808.txt	MIG-6-M-V	Validated	Mouse	Sigma	WH0054206M1	ERRFI1 (MIG6) is a cytoplasmic protein whose expression is upregulated with cell growth 	MIG-6
	Mitochondria-M-V_GBL9016907.txt	Mitochondria-M-V	ValidatdOxphos-complex	Mouse				Mitochondria
MRE11A	Mre11-R-C_GBL9016819.txt	Mre11-R-C	Use with Caution	Rabbit	CST	4847	A central part of a multisubunit nuclease composed of Mre11, Rad50 and Nbs1 (MRN), Plays a critical role in sensing, processing and repairing DNA double strand breaks	Mre11
MSH2	MSH2-M-C_GBL9016802.txt	MSH2-M-C	Validated	Mouse	CST	2850	MSH2 (MutS homologue 2) forms the hMutS-_ dimer with MSH6 and is an essential component of the mismatch DNA repair process. 	MSH2
MSH6	MSH6-R-C_GBL9016773.txt	MSH6-R-C	Use with Caution	Rabbit	Novus Biologicals	22030002	MSH6 is a mismatch-repair protein. It forms the hMutS-_ dimer with MSH2 and is an essential component of the mismatch DNA repair process. It plays a role in tumor suppression.	MSH6
MTOR	mTOR-R-V_GBL9016820.txt	mTOR-R-V	Validated	Rabbit	CST	2983	The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway	mTOR
MTOR	mTOR_pS2448-R-C_GBL9016892.txt	mTOR_pS2448-R-C	Use with Caution	Rabbit	CST	2971	The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway	mTOR_pS2448
MYH11	MYH11-R-V_GBL9016615.txt	MYH11-R-V	Validated	Rabbit	SDI / Novus	21370002	Myosin II forms bipolar filaments that interact with actin filaments to produce contraction.	MYH11
MYH9	Myosin-IIa_pS1943-R-V_GBL9016616.txt	Myosin-IIa_pS1943-R-V	Validated	Rabbit	CST	5026	Non muscle myosin is an actin-based motor protein essential to cell motility, cell division, migration, adhesion, and polarity	Myosin-IIa_pS1943
CDH2	N-Cadherin-R-V_GBL9016705.txt	N-Cadherin-R-V	Validated	Rabbit	CST	4061	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	N-Cadherin
NDRG1	NDRG1_pT346-R-V_GBL9016617.txt	NDRG1_pT346-R-V	Validated	Rabbit	CST	3217	A member of the NDRG family functions in growth, differentiation, and cell survival 	NDRG1_pT346
NF2	NF2-R-C_GBL9016769.txt	NF2-R-C	Use with Caution	Rabbit	SDI	2271.00.02	Neurofibromin 2 (NF2) is a tumor suppressor gene encoding the protein Merlin to provide a link between the actin cytoskeleten and membrane associated proteins, playing a role in transduction of extracellular signals	NF2
NFKB1	NF-kB-p65_pS536-R-C_GBL9016706.txt	NF-kB-p65_pS536-R-C	Use with Caution	Rabbit	CST	3033	Transcription factors of the nuclear factor _ B (NF-_B)/Rel family play a pivotal role in inflammatory and immune responses 	NF-kB-p65_pS536
