Study	filename
ACC	dup2.hgsc.bcm.edu_ACC.IlluminaGA_DNASeq.1.somatic.onco
PAAD	freeze2.aggregated.capture.tcga.uuid.curated.somatic.onco
BRCA	genome.wustl.edu_BRCA.IlluminaGA_DNASeq.Level_2.1.1.0.curated.somatic.onco
BRCA	genome.wustl.edu_BRCA.IlluminaGA_DNASeq.Level_2.5.3.0.somatic.onco
CESC	genome.wustl.edu_CESC.IlluminaGA_DNASeq_curated.Level_2.1.0.0.somatic.onco
OV	genome.wustl.edu_OV.IlluminaGA_DNASeq.1.3.somatic.onco
UCEC	genome.wustl.edu_UCEC.IlluminaGA_DNASeq.Level_2.1.7.somatic.onco
ACC	hgsc.bcm.edu_ACC.IlluminaGA_DNASeq.1.somatic.onco
CHOL	hgsc.bcm.edu_CHOL.IlluminaGA_DNASeq.1.somatic.onco
COAD	hgsc.bcm.edu_COAD.IlluminaGA_DNASeq.1.somatic.onco
DLBC	hgsc.bcm.edu_DLBC.IlluminaGA_DNASeq.1.somatic.onco
KICH	hgsc.bcm.edu_KICH.IlluminaGA_DNASeq.1.somatic.onco
KIRC	hgsc.bcm.edu_KIRC.Mixed_DNASeq.1.somatic.onco
KIRP	hgsc.bcm.edu_KIRP.IlluminaGA_DNASeq.1.somatic.onco
LIHC	hgsc.bcm.edu_LIHC.IlluminaGA_DNASeq.1.somatic.onco
PAAD	hgsc.bcm.edu_PAAD.IlluminaGA_DNASeq.1.somatic.onco
READ	hgsc.bcm.edu_READ.IlluminaGA_DNASeq.1.somatic.onco
SKCM	hgsc.bcm.edu_SKCM.IlluminaGA_DNASeq.1.somatic.onco
TGCT	hgsc.bcm.edu_TGCT.IlluminaGA_DNASeq.1.somatic.onco
THCA	hgsc.bcm.edu_THCA.IlluminaGA_DNASeq.1.somatic.onco
THYM	hgsc.bcm.edu_THYM.IlluminaGA_DNASeq.1.somatic.onco
HNSC	HNSC_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
LGG	LGG_FINAL_ANALYSIS.aggregated.capture.tcga.uuid.curated.somatic.onco
GBM	mdanderson.org_GBM.IlluminaGA_DNASeq.Level_2.1.somatic.onco
LGG	mdanderson.org_LGG.IlluminaGA_DNASeq.Level_2.1.somatic.onco
PAAD	PAAD_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
HNSC	pair_set_279_freeze_Mar262013.aggregated.capture.tcga.uuid.curated.somatic.onco
PCPG	PCPG_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
BLCA	PR_TCGA_BLCA_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.onco
CESC	PR_TCGA_CESC_PAIR_Capture_All_Pairs_QCPASS_v4.aggregated.capture.tcga.uuid.automated.somatic.onco
CESC	PR_TCGA_CESC_PAIR_Capture_All_Pairs.aggregated.capture.tcga.uuid.somatic.onco
HNSC	PR_TCGA_HNSC_PAIR_Capture_TP-NT_TP-NB.aggregated.capture.tcga.uuid.somatic.onco
KIRC	PR_TCGA_KIRC_PAIR_Capture_All_Pairs_QCPASS_v3.aggregated.capture.tcga.uuid.automated.somatic.onco
KIRP	PR_TCGA_KIRP_PAIR_Capture_All_Pairs_QCPASS_v3.aggregated.capture.tcga.uuid.somatic.onco
KIRP	PR_TCGA_KIRP_PAIR_Capture_All_Pairs_QCPASS_v4.aggregated.capture.tcga.uuid.automated.somatic.onco
LGG	PR_TCGA_LGG_PAIR_Capture_All_Pairs_QCPASS_v7.aggregated.capture.tcga.uuid.automated.somatic.onco
LUAD	PR_TCGA_LUAD_PAIR_Capture_All_Pairs_QCPASS_v3.aggregated.capture.tcga.uuid.somatic.onco
LUAD	PR_TCGA_LUAD_PAIR_Capture_All_Pairs_QCPASS_v4.aggregated.capture.tcga.uuid.automated.somatic.onco
PAAD	PR_TCGA_PAAD_PAIR_Capture_All_Pairs_QCPASS_v3.aggregated.capture.tcga.uuid.somatic.onco
PRAD	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v4.aggregated.capture.tcga.uuid.curated.somatic.onco
PRAD	PR_TCGA_PRAD_PAIR_Capture_All_Pairs_QCPASS_v6.aggregated.capture.tcga.uuid.automated.somatic.onco
SKCM	PR_TCGA_SKCM_PAIR_Capture_All_Pairs_QCPASS_v4.aggregated.capture.tcga.uuid.automated.somatic.onco
STAD	PR_TCGA_STAD_PAIR_Capture_All_Pairs_QCPASS_v4.aggregated.capture.tcga.uuid.somatic.onco
STAD	QCv5_blacklist_Pass.aggregated.capture.tcga.uuid.curated.somatic.onco
SARC	SARC_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
SKCM	skcm_clean_pairs.aggregated.capture.tcga.uuid.somatic.onco
UCEC	step4_An_UCEC_194.aggregated.tcga.maf2.4.migrated.somatic.onco
LUSC	step4_LUSC_Paper_v8.aggregated.tcga.maf2.4.migrated.somatic.onco
OV	step4_ov_liftover.aggregated.capture.tcga.uuid.maf2.4.migrated.somatic.onco
TGCT	TGCT_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
THYM	THYM_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
UCS	UCS_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
CESC	ucsc.edu_CESC.IlluminaGA_DNASeq_automated.Level_2.1.1.0.somatic.onco
GBM	ucsc.edu_GBM.IlluminaGA_DNASeq_automated.Level_2.1.1.0.somatic.onco
KIRP	ucsc.edu_KIRP.IlluminaGA_DNASeq_automated.Level_2.1.2.0.somatic.onco
LGG	ucsc.edu_LGG.IlluminaGA_DNASeq_automated.Level_2.1.4.0.somatic.onco
LIHC	ucsc.edu_LIHC.IlluminaGA_DNASeq_automated.Level_2.1.1.0.somatic.onco
PAAD	ucsc.edu_PAAD.IlluminaGA_DNASeq_automated.Level_2.1.2.0.somatic.onco
SARC	ucsc.edu_SARC.IlluminaGA_DNASeq_automated.Level_2.1.0.0.somatic.onco
THYM	ucsc.edu_THYM.IlluminaGA_DNASeq_automated.Level_2.1.0.0.somatic.onco
UVM	UVM_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
